EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A30 - Interlagos Blue Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C55DE799162,,E799162,"MSRP.1,ZCW,ZPP.3,2MK,302,403,6FL,6NF,6NR,655",,,07-17-2012,550/1100,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C57DE799163,,E799163,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MX,507,609,6FL,655,752",,,07-17-2012,550/950,,CAN,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799164,,E799164,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-17-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C50DE799165,,E799165,"MSRP.1,ZCP,2MK,302,494,4MY,609,6FL",,,07-17-2012,550/2000,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C52DE799166,,E799166,"MSRP.1,ZCP,ZCW,ZPP.2,2MK,302,403,6FL,655,752",,,07-17-2012,550,,,,,,,,,,
A96 - Mineral White Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C54DE799167,,E799167,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,655,752",,,07-18-2012,,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C56DE799168,,E799168,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,752",,,07-18-2012,550,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DE799169,,E799169,"MSRP.1,ZCP,302,6FL,771",,,07-18-2012,,,,,,,,,,,
668 - Jet Black,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C54DE799170,,E799170,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-18-2012,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C56DE799171,,E799171,"MSRP.1,ZCW,ZPP.3,302,403,6FL,6NF,6NR,655,752",,,07-18-2012,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C58DE799172,,E799172,"MSRP.1,ZCP,ZCW,2MK,302,322,403,415,4MY,507,609,6FL,655,752",,,07-18-2012,550/950,,CAN,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799173,,E799173,"MSRP.1,ZCP,ZPP.3,302,494,6FL,6NF,6NR",,,07-18-2012,,,,,,,,,,,
