EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C57AP362497,,P362497,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,6NF,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,,WBSWD9C59AP362498,,P362498,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,,WBSWD9C50AP362499,,P362499,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,494,507,653,655,752",,,"Sep 8, 2009",550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C53AP362500,,P362500,"MSRP,ZPP.3,ZTP,2MK,2MT.1,6FL,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCH1 - Silver Novillo Leather,,WBSWD9C55AP362501,,P362501,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,415,494,507,6FL,6NF,653,655,752",,,"Sep 8, 2009",550,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,,WBSWD9C57AP362502,,P362502,"MSRP,ZTP,2MK,2MT.1,4MY,6FL",,,"Sep 8, 2009",950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C59AP362503,,P362503,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C50AP362504,,P362504,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
668 - Jet Black,,NCH3 - Beige Novillo Leather,,WBSWD9C52AP362505,,P362505,"MSRP,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,653,655",,,"Sep 9, 2009",,,,,,,,,,,
300 - Alpine White,,NDH3 - Beige Novillo Extended Leather,,WBSWD9C54AP362506,,P362506,"MSRP,ZCW,ZPP.2,ZTP,2MK,2MT.1,302,403,415,507,6FL,653,655,752",,,"Sep 9, 2009",1100,,,,,,,,,,
