EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12526,,VA12526,,,,"Jul 14, 2017",,,BMW of Ontario,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12527,,VA12527,2MK,,,"Jul 14, 2017",,,"BMW AG, München",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12528,,VA12528,,,,"Jul 14, 2017",,,"Laurel BMW of Westmont, Westmont, US",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12529,,VA12529,,,,"Jul 14, 2017",,,BMW of Towson,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12530,,VA12530,,,,"Jul 14, 2017",,,"Calgary BMW, Calgary, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12531,,VA12531,2MK,,,"Jul 14, 2017",,,"BMW AG, München / BMW of Turnersville",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12532,,VA12532,2MK,,,"Aug 15, 2017",,,"Manheim New Jersey, Bordentown, US",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12533,,VA12533,2MK,,,"Aug 15, 2017",,,"Atlanta Auto Auction/Manheim Greer, Red Oak, US",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12534,,VA12534,,,,"Jul 14, 2017",,,"BMW AG, München / BMW of Pleasant Grove",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12535,,VA12535,,,,"Jul 14, 2017",,,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12536,,VA12536,,,,"Jul 14, 2017",,,"BMW AG, München / BMW of Stratham",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12537,,VA12537,,,,"Jul 14, 2017",,,Wagner BMW of Shrewsbury,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12538,,VA12538,2MK,,,"Jul 14, 2017",,,Autogermana BMW/Autogermana,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12539,,VA12539,2MK,,,"Jul 14, 2017",,,BMW of Bakersfield,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12540,,VA12540,2MK,,,"Jul 14, 2017",,,BMW of El Cajon,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12541,,VA12541,2MK,,,"Jul 15, 2017",,,BMW of Morristown,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12542,,VA12542,2MK,,,"Jul 15, 2017",,,BMW of Houston North,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12543,,VA12543,2MK,,,"Jul 15, 2017",,,BMW of Fremont,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12544,,VA12544,,,,"Jul 15, 2017",,,"BMW AG, München / Sewickley BMW",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12545,,VA12545,2MK,,,"Aug 7, 2017",,,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12546,,VA12546,2MK,,,"Aug 7, 2017",,,"BMW Sarnia, Sarnia, CAN",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12547,,VA12547,2MK,,,"Aug 7, 2017",,,"Pfaff BMW, Mississauga, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12548,,VA12548,2MK,,,"Aug 7, 2017",,,"BMW Sainte-Julie, Sainte-Julie, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12549,,VA12549,2MK,,,"Aug 7, 2017",,,"Policaro BMW, Brampton, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12550,,VA12550,,,,"Aug 7, 2017",,,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12551,,VA12551,2MK,,,"Aug 7, 2017",,,BMW of Bayside,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12552,,VA12552,2MK,,,"Aug 7, 2017",,,Hilton Head BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12553,,VA12553,,,,"Aug 7, 2017",,,Ferman BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12554,,VA12554,2MK,,,"Aug 8, 2017",,,BMW of Ridgefield,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12555,,VA12555,2MK,,,"Aug 8, 2017",,,BMW of Freehold,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12556,,VA12556,2MK,,,"Aug 8, 2017",,,BMW of Southampton,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12557,,VA12557,2MK,,,"Aug 8, 2017",,,BMW of Lafayette,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12558,,VA12558,,,,"Aug 8, 2017",,,BMW of Fremont,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12559,,VA12559,2MK,,,"Aug 8, 2017",,,"BMW AG, München /  Nalley BMW of Decatur",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12560,,VA12560,2MK,,,"Aug 8, 2017",,,Autohaus BMW of Maplewood,,,,,,,,
,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12561,,VA12561,2MK,,,"Aug 8, 2017",,,"BMW West Island, Dorval, CAN",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12562,,VA12562,2MK,,,"Aug 8, 2017",,,"Auto West BMW, Richmond, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12563,,VA12563,2MK,,,"Aug 8, 2017",,,Bob Smith BMW ,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12564,,VA12564,2MK,,,"Aug 9, 2017",,,BMW of Bayside,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12565,,VA12565,2MK,,,"Aug 9, 2017",,,BMW of Palm Springs,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12566,,VA12566,,,,"Aug 9, 2017",,,Germain BMW of Naples,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12567,,VA12567,2MK,,,"Aug 9, 2017",,,Bob Smith BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12568,,VA12568,2MK,,,"Aug 9, 2017",,,BMW of Bowling Green,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12569,,VA12569,,,,"Aug 9, 2017",,,BMW Gallery,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12570,,VA12570,2MK,,,"Aug 9, 2017",,,"Auto West BMW, Richmond, CAN",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12571,,VA12571,,,,"Aug 9, 2017",,,"Bavaria BMW, Edmonton, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12572,,VA12572,,,,"Aug 9, 2017",,,"Parkview BMW, North York, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12573,,VA12573,2MK,,,"Aug 9, 2017",,,"BMW Victoria, Victoria, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12574,,VA12574,2MK,,,"Aug 9, 2017",,,Continental BMW of Darien,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12575,,VA12575,,,,"Aug 9, 2017",,,BMW of Annapolis,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12576,,VA12576,,,,"Aug 9, 2017",,,"Fields BMW , Winter Park",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12577,,VA12577,2MK,,,"Aug 9, 2017",,,BMW of Westcheste,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12578,,VA12578,,,,"Aug 9, 2017",,,BMW Cleveland,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12579,,VA12579,2MK,,,"Aug 9, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12580,,VA12580,2MK,,,"Aug 10, 2017",,,"BMW Laval, Laval, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12581,,VA12581,,,,"Aug 10, 2017",,,Long Beach BMW,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12582,,VA12582,2MK,,,"Aug 10, 2017",,,BMW of Peabody,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12583,,VA12583,2MK,,,"Aug 10, 2017",,,Herb Chambers BMW/,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12584,,VA12584,,,,"Aug 10, 2017",,,Herb Chambers BMW,,,,,,,,
