EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93578PY39097,,PY39097,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93598PY39098,,PY39098,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93508PY39099,,PY39099,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93538PY39100,,PY39100,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93558PY39101,,PY39101,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,752",,,"Nov 20, 2007",,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93578PY39102,,PY39102,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 20, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93598PY39103,,PY39103,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 20, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93508PY39104,,PY39104,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 20, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93528PY39105,,PY39105,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 20, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93548PY39106,,PY39106,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 21, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93568PY39107,,PY39107,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 21, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93588PY39108,,PY39108,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 21, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD935X8PY39109,,PY39109,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,415,507,6FL,653,655,752",,,"Nov 21, 2007",1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSWD93568PY39110,,PY39110,"MSRP.3,ZCW,ZPP.1,302,322,507,609,6FL",,,"Nov 22, 2007",475,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSWD93588PY39111,,PY39111,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,415,507,609,6FL,752",,,"Nov 22, 2007",1100,,,,,,,,,,
668 - Jet Black,,NDSW - Black Extended Novillo Leather,2008,WBSWD935X8PY39112,,PY39112,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,415,507,6FL,752",,,"Nov 21, 2007",1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSWD93518PY39113,,PY39113,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,609",,,"Nov 21, 2007",,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93538PY39114,,PY39114,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,415,507,6FL,752",,,"Nov 22, 2007",475,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93558PY39115,,PY39115,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,415,507,6FL,752",,,"Nov 22, 2007",1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93578PY39116,,PY39116,"MSRP.3,ZCW,ZPP.3,302,322,403,507,6FL,752",,,"Nov 21, 2007",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93598PY39117,,PY39117,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,302,415,507,6FL,752",,,"Nov 22, 2007",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSWD93508PY39118,,PY39118,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,415,507,609,6FL,752",,,"Nov 22, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSWD93528PY39119,,PY39119,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,302,415,507,6FL,752",,,"Nov 22, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93598PY39120,,PY39120,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,6FL,752",,,"Nov 23, 2007",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93508PY39121,,PY39121,"MSRP.3,ZCW,ZPP.3,223,302,322,6FL",,,"Nov 22, 2007",475,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSWD93528PY39122,,PY39122,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,415,507,609,6FL,752",,,"Nov 23, 2007",,,,,,,,,,,
